formula,CAS,Tm_C,Tb_C,Td_C,density_g_per_cm3,Hfus_kJ_per_mol,Hfus_kJ_per_kg,Hvap_kJ_per_mol,Hvap_kJ_per_kg,thermal_conductivity_W_per_mK,hardness_Mohs,hardness_Vickers_MPa,source,notes
Cr,7440-47-3,1907,2671,,7.190,21.0,292,339,4713,93.9,8.5,1060,CRC Handbook 97th Ed,"pure chromium, M=51.996"
Mn,7439-96-5,1246,2061,,7.210,12.9,235,220,4004,7.8,6.0,196,CRC Handbook 97th Ed,"pure manganese, M=54.938"
Zn,7440-66-6,420,907,,7.140,7.3,112,115,1758,116,2.5,412,CRC Handbook 97th Ed,"pure zinc, M=65.38"
Ti,7440-32-6,1668,3287,,4.506,14.2,297,425,8878,21.9,6.0,970,CRC Handbook 97th Ed,"pure titanium, M=47.867"
Zr,7440-67-7,1855,4409,,6.520,21.0,230,573,6277,22.6,,903,CRC Handbook 97th Ed,"pure zirconium, M=91.224"
Mg,7439-95-4,650,1090,,1.738,8.5,350,128,5267,156,2.5,260,CRC Handbook 97th Ed,"pure magnesium, M=24.305"
Ca,7440-70-2,842,1484,,1.550,8.5,212,155,3867,201,1.75,167,CRC Handbook 97th Ed,"pure calcium, M=40.078"
Sr,7440-24-6,777,1382,,2.630,7.4,84,137,1563,35.4,,,CRC Handbook 97th Ed,"pure strontium, M=87.62"
Ba,7440-39-3,727,1897,,3.510,7.1,52,140,1020,18.4,,,CRC Handbook 97th Ed,"pure barium, M=137.33"
B,7440-42-8,2075,4000,,2.370,50.2,2119,480,20253,27,9.3,4900,CRC Handbook 97th Ed,"pure boron, M=10.81"
Mg3(PO4)2,7757-87-1,,,,2.930,,,,,,,,CRC Handbook 97th Ed,M=262.86
AlPO4,7784-30-7,,,,2.566,,,,,,,,CRC Handbook 97th Ed,M=121.95
FePO4,10045-86-0,,,,3.056,,,,,,,,CRC Handbook 97th Ed,M=150.82
FeS,1317-37-9,1195,,,4.840,31.5,650,,,,4.0,,CRC Handbook 97th Ed,"troilite, M=87.91"
ZnS,1314-98-3,1830,,,4.090,46.0,700,,,,3.5,160,CRC Handbook 97th Ed,"sphalerite, M=97.47"
CuS,1317-40-4,,,500,4.760,,,,,,,,CRC Handbook 97th Ed,"covellite decomposes, M=95.61"
Cu2S,22205-45-4,1129,,,5.600,,,,,,,,CRC Handbook 97th Ed,"chalcocite, M=159.16"
Na2B4O7,1330-43-4,743,,,2.367,,,,,,,,CRC Handbook 97th Ed,"borax anhydrous, M=201.22"
H2O,7732-18-5,0,100,,0.997,6.01,334,40.66,2257,0.6,,,CRC Handbook 97th Ed,"water 25C, M=18.015"
NaNO3,7631-99-4,308,380 (decomp),,2.261,15.5,,CRC 97th
KNO3,7757-79-1,334,400 (decomp),,2.109,9.6,,CRC 97th
LiNO3,7790-69-4,255,,,2.38,26.7,,CRC 97th
AgNO3,7761-88-8,210,444 (decomp),,4.35,11.72,,CRC 97th
Ca(NO3)2,10124-37-5,561,,,2.504,,,CRC 97th
Ba(NO3)2,10022-31-8,592,,,3.24,,,CRC 97th
Sr(NO3)2,10042-76-9,570,,,2.986,,,CRC 97th
Mg(NO3)2,10377-60-3,89 (hexahydrate),,,1.464,,,CRC 97th
Zn(NO3)2,7779-88-6,110 (hexahydrate),,,2.067,,,CRC 97th
Cu(NO3)2,3251-23-8,114.5 (trihydrate),,,2.32,,,CRC 97th
Al(NO3)3,13473-90-0,73 (nonahydrate),,,1.72,,,CRC 97th
Fe(NO3)3,10421-48-4,47 (nonahydrate),,,1.684,,,CRC 97th
NaNO2,7632-00-0,271,320 (decomp),,2.168,,,CRC 97th
KNO2,7758-09-0,441 (decomp),,,1.915,,,CRC 97th
LiNO2,13568-33-7,222,,,1.615,,,CRC 97th
AgNO2,7783-99-5,140 (decomp),,,4.453,,,CRC 97th
Ba(NO2)2,13465-94-6,217,,,3.173,,,CRC 97th
Ca(NO2)2,13780-06-8,390 (decomp),,,2.23,,,CRC 97th
NaBr,7647-15-6,747,1390,,3.203,26.11,160,CRC 97th
KBr,7758-02-3,734,1435,,2.758,25.52,161,CRC 97th
LiBr,7550-35-8,550,1265,,3.464,17.6,148,CRC 97th
MgBr2,7789-48-2,711,,,3.72,,,CRC 97th
CaBr2,7789-41-5,742,1935,,3.353,29.1,,CRC 97th
BaBr2,10553-31-8,857,,,4.781,32.5,,CRC 97th
SrBr2,10476-81-0,657,,,4.216,10.5,,CRC 97th
FeBr2,7789-46-0,691,,,4.636,,,CRC 97th
FeBr3,10031-26-2,200 (decomp),,,4.5,,,CRC 97th
ZnBr2,7699-45-8,394,697,,4.22,16.7,,CRC 97th
NiBr2,13462-88-9,965,,,5.098,,,CRC 97th
CuBr,7787-70-4,498,1345,,4.72,5.1,,CRC 97th
CuBr2,7789-45-9,498,,,4.71,,,CRC 97th
AlBr3,7727-15-3,97.5,255,,3.205,11.25,,CRC 97th
AgBr,7785-23-1,432,1502,,6.473,9.163,,CRC 97th
NaI,7681-82-5,661,1304,,3.667,23.6,150,CRC 97th
KI,7681-11-0,681,1330,,3.123,24,,CRC 97th
LiI,10377-51-2,469,1171,,3.494,14.6,151,CRC 97th
MgI2,10377-58-9,637,,,4.43,,,CRC 97th
CaI2,10102-68-8,783,1100 (decomp),,3.956,41.8,,CRC 97th
BaI2,13718-50-8,711,,,5.15,26.5,,CRC 97th
SrI2,10476-86-5,538,,,4.549,19.7,,CRC 97th
FeI2,7783-86-0,587,,,5.315,,,CRC 97th
FeI3,15600-49-4,,,decomposes,,,,,CRC 97th
ZnI2,10139-47-6,446,625 (decomp),,4.74,15.9,,CRC 97th
NiI2,13462-90-3,797,,,5.834,48,,CRC 97th
CuI,7681-65-4,606,1290,,5.62,7.93,,CRC 97th
CuI2,7681-65-4,,decomposes,,,,,CRC 97th
AlI3,7784-23-8,191,382,,3.98,15.9,,CRC 97th
AgI,7783-96-2,558,1506,,5.675,9.414,,CRC 97th
